Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
SMKN TLOGOSARI,92,50,NEGERI,BONDOWOSO
SMAN 2 MADIUN,93,50,NEGERI,MADIUN
SMK Syalafiyah Syafi'iyah,81,51,SWASTA,BONDOWOSO
SMK PUTRA AIRLANGGA SURABAYA,86,51,SWASTA,SURABAYA
MAS FATWA ALIM,84,52,NEGERI,MADIUN
SMK ADDIMYATI,93,53,SWASTA,JEMBER
SMK NEGERI 1 TEGALSARI,92,54,NEGERI,BANYUWANGI
SMA MUHAMMADIYAH 2 NGAWI,81,55,SWASTA,NGAWI
MA UMDATUL FALAH,89,56,SWASTA,MAGETAN
SMK RAJASA SURABAYA,92,57,SWASTA,SURABAYA
SMK Negeri 1 Pujon,92,58,NEGERI,MALANG
SMK NEGERI 1 GLAGAH,93,58,NEGERI,BANYUWANGI
SMA MUHAMMADIYAH 3 PONOROGO,88,59,SWASTA,PONOROGO
SMK MASKUMAMBANG 2 DUKUN,87,60,SWASTA,GRESIK
SMKN 1 Kotaanyar,90,60,NEGERI,PROBOLINGGO
SMKN 4 MADIUN,92,60,NEGERI,MADIUN
SMK PRAPANCA 2 SURABAYA,92,60,SWASTA,SURABAYA
SMK ADHIKAWACANA SURABAYA,93,60,SWASTA,SURABAYA
SMKN 10 SURABAYA,93,60,NEGERI,SURABAYA
SMK MIFTAHUL ULUM,85,61,SWASTA,PAMEKASAN
SMKN MAESAN,85,61,NEGERI,BONDOWOSO
SMK (STM) PSM 2 TAKERAN,92,61,SWASTA,MAGETAN
SMKN WINONGAN,92,62,NEGERI,PASURUAN
SMK MIFTAHUL HUDA,85,63,SWASTA,BOJONEGORO
SMK KRISTEN PETRA SURABAYA,90,63,SWASTA,SURABAYA
SMKK AL-FATTAH TAHUNAN,86,64,SWASTA,PACITAN
SMK WIRA MARITIM SURABAYA,83,65,SWASTA,SURABAYA
SMK PGRI 5 SURABAYA,90,66,SWASTA,SURABAYA
SMKIT ARROHMAH KEPANJEN,84,67,SWASTA,MALANG
SMKN 1 JENANGAN,93,67,NEGERI,PONOROGO
SMKN BEJI,93,68,NEGERI,PASURUAN
SMK PERSADA JETIS,81,69,SWASTA,MOJOKERTO 
SMK PGRI 2 Kertosono,87,69,SWASTA,NGANJUK
SMK KETINTANG 1 SURABAYA,92,69,SWASTA,SURABAYA
SMK (STM) N 1 KEBONSAARI,93,69,SWASTA,MADIUN
SMK MUHAMMADIYAH 1 KEPANJEN,93,69,SWASTA,MALANG
SMK MIFTAHUL QULU,89,70,SWASTA,PAMEKASAN
SMK PGRI 1 Nganjuk,92,71,SWASTA,NGANJUK
SMK DARUL FALAH,81,72,SWASTA,PAMEKASAN
SMK DARUS SHOLIHIN,83,72,SWASTA,JEMBER
SMK Negeri Klabang,90,73,NEGERI,BONDOWOSO
SMK PGRI SUMBERMANJING,81,74,SWASTA,MALANG
MAS DARUSSALAM,86,74,NEGERI,MADIUN
SMK ARDJUNA 2,87,74,SWASTA,MALANG
SMK AL-MIFTAH,81,75,SWASTA,PAMEKASAN
SMK PGRI 1 MADIUN,85,75,SWASTA,MADIUN
SMK 1 MUHAMMADIYAH,89,75,SWASTA,PROBOLINGGO
SMK 1 PGRI,85,76,SWASTA,PROBOLINGGO
SMK PGRI 2 BONDOWOSO,86,77,SWASTA,BONDOWOSO
SMAN 1 MADIUN,92,77,NEGERI,MADIUN
SMK `SIANG` 1 BOJONEGORO,92,78,SWASTA,BOJONEGORO
SMAN 1 NGRAYUN,92,78,NEGERI,PONOROGO
SMK SARIPRAJA SURABAYA,83,79,SWASTA,SURABAYA
SMK Muhammadiyah 3 Kepohbaru,84,79,SWASTA,BOJONEGORO
SMK Negeri Pujer,86,79,NEGERI,BONDOWOSO
SMK AL FUDHOLA' PAMEKASAN,88,79,SWASTA,PAMEKASAN
SMK DIPONOGORO SURABAYA,83,80,SWASTA,SURABAYA
MAS PERTANIAN,86,81,NEGERI,MADIUN
SMK BAHJATUL ULUM,81,82,SWASTA,JEMBER
SMK 17 AGUSTUS 1945 MUNCAR,89,82,SWASTA,BANYUWANGI
MA MA'ARIF JOGOROGO,82,83,SWASTA,NGAWI
SMK MUHAMMADIYAH 1,88,83,SWASTA,PONOROGO
SMA KYAI AGENG BASYARIYAH,91,84,SWASTA,MADIUN
SMK TUNAS WIJAYA SURABAYA,81,85,SWASTA,SURABAYA
SMK WAHANA KARYA SURABAYA,81,85,SWASTA,SURABAYA
SMK 17 AGUSTUS 1945 CLURING,92,85,SWASTA,BANYUWANGI
NATIONAL IMMERSION SENIOR HIGH SCHOOL,82,86,SWASTA,PONOROGO
SMK AL-ISLAM,92,86,SWASTA,PONOROGO
MAN TAKERAN,94,86,NEGERI,MAGETAN
SMK NEGERI JATIREJO,90,88,NEGERI,MOJOKERTO 
SMK WAKID HASYIM,91,88,SWASTA,PONOROGO
SMK Al Fatah Kertosono,82,89,SWASTA,NGANJUK
